COUNTRY,iso3,year,dj_expression,wdj_expression,v2x_freexp,defacto_merge_status,defacto_unmatched_reason,country_name,country_id,defacto_first_year,defacto_last_year
ASEAN,ASEAN,1894,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1895,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1896,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1897,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1898,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1899,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1900,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1901,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1902,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1903,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1904,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1905,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1906,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1907,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1908,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1909,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1910,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1911,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1912,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1913,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1914,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1915,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1916,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1917,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1918,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1919,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1920,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1921,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1922,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1923,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1924,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1925,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1926,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1927,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1928,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1929,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1930,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1931,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1932,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1933,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1934,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1935,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1936,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1937,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1938,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1939,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1940,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1941,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1942,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1943,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1944,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
ASEAN,ASEAN,1945,0.0,0.0,,unmatched_expected_no_defacto_entity,aggregate/non-country code not in defacto data,,,,
